id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
6547,00MI,heliport,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588.0,,US,US-MI,Ludington,no,,,00MI,00MI,,,
6548,00MN,small_airport,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365.0,,US,US-MN,Battle Lake,no,,,00MN,00MN,,,
6549,00MO,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,,US,US-MO,Alba,no,,,00MO,00MO,,,5K8
324642,00MT,heliport,Livingston Healthcare Heliport,45.675,-110.52515,4465.0,,US,US-MT,Livingston,no,,,00MT,00MT,,,
6551,00N,small_airport,Bucks Airport,39.472998,-75.184346,105.0,,US,US-NJ,Bridgeton,no,,,K00N,00N,,https://en.wikipedia.org/wiki/Bucks_Airport,
6552,00NC,small_airport,North Raleigh Airport,36.08520126342773,-78.37139892578125,348.0,,US,US-NC,Louisburg,no,,,00NC,00NC,,,
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78.0,,US,US-NJ,New Brunswick,no,,,00NJ,00NJ,,,
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,,US,US-NY,Beekmantown,no,,,00NK,00NK,,,
506039,00NR,heliport,Rodanthe Dare County Heliport,35.594729,-75.470002,8.0,,US,US-NC,Rodanthe,no,,,00NR,00NR,,,
6554,00NY,small_airport,Weiss Airfield,42.89576,-77.495263,1000.0,,US,US-NY,West Bloomfield,no,,,00NY,00NY,,,
6556,00OI,heliport,Miami Valley Hospital Heliport,39.745091,-84.187278,905.0,,US,US-OH,Dayton,no,,,00OI,00OI,,,
328503,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0,,US,US-OK,Sandsprings,no,,,00OK,00OK,,,
6557,00OR,heliport,Steel Systems Heliport,44.932899475097656,-123.12999725341795,195.0,,US,US-OR,Salem,no,,,00OR,00OR,,,
6558,00PA,heliport,R J D Heliport,39.94889831542969,-75.74690246582031,402.0,,US,US-PA,Coatesville,no,,,00PA,00PA,,,
45773,00PN,small_airport,Ferrell Field,41.2995,-80.211111,1301.0,,US,US-PA,Mercer,no,,,00PN,00PN,,,
6560,00S,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0,,US,US-OR,Blue River,no,,,K00S,00S,,https://en.wikipedia.org/wiki/McKenzie_Bridge_State_Airport,
6561,00SC,small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150.0,,US,US-SC,Sumter,no,,,00SC,00SC,,,
330391,00SD,small_airport,Homan Field,44.809158,-96.498897,1590.0,,US,US-SD,Gary,no,,,00SD,00SD,,,
6563,00TE,heliport,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.1894989013672,600.0,,US,US-TX,Fort Worth,no,,,00TE,00TE,,,
6565,00TS,small_airport,Alpine Range Airport,32.607601165771484,-97.24199676513672,670.0,,US,US-TX,Everman,no,,,00TS,00TS,,,
516563,00TT,small_airport,Nowhere Airport,34.516606,-99.93694,1752.0,,US,US-TX,Goodlett,no,,,00TT,00TT,,,
6568,00VA,small_airport,Vaughan Airport,36.574964,-78.998437,551.0,,US,US-VA,Alton,no,,,00VA,00VA,,,
6569,00VI,small_airport,Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,2680.0,,US,US-VA,Hillsville,no,,,00VI,00VI,,,
6570,00W,small_airport,Lower Granite State Airport,46.672884,-117.441933,719.0,,US,US-WA,Colfax,no,,,K00W,00W,http://www.wsdot.wa.gov/aviation/AllStateAirports/Colfax_LowerGraniteState.htm,,0WA0
6571,00WA,small_airport,Howell Airport,47.17839813232422,-122.77200317382812,150.0,,US,US-WA,Longbranch,no,,,00WA,00WA,,,
6572,00WI,small_airport,Northern Lite Airport,44.304298400878906,-89.05010223388672,860.0,,US,US-WI,Waupaca,no,,,00WI,00WI,,,
6573,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0,,US,US-WA,Asotin,no,,,00WN,00WN,,,
6574,00WV,small_airport,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060.0,,US,US-WV,Beverly,no,,,00WV,00WV,,,
322300,00WY,heliport,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210.0,,US,US-WY,Casper,no,,,00WY,00WY,,,
525140,00XA,small_airport,Weeski Ranch Airport,30.224,-96.01417,271.0,,US,US-TX,,no,,,00XA,00XA,,,
6576,01A,small_airport,Purkeypile Airport,62.940833,-152.269722,2041.0,,US,US-AK,Purkeypile,no,,,K01A,01A,,,
6577,01AK,heliport,Providence Seward Medical Center Heliport,60.1058739754,-149.446249008,120.0,,US,US-AK,Seward,no,,,01AK,01AK,,,
6578,01AL,small_airport,Ware Island Airport,32.94599914550781,-86.51390075683594,344.0,,US,US-AL,Clanton,no,,,01AL,01AL,,,
356168,01AN,small_airport,McHone Heights Airport,61.649095,-149.339025,610.0,,US,US-AK,Wasilla,no,,,01AN,01AN,,,
6579,01AR,heliport,DeQueen Medical Center Heliport,34.047456,-94.354023,440.0,,US,US-AR,DeQueen,no,,,01AR,01AR,,,Community Hospital of DeQueen Heliport
6580,01AZ,heliport,Yat Heliport,34.607406,-111.8609,3300.0,,US,US-AZ,Camp Verde,no,,,01AZ,01AZ,,,
6582,01CA,heliport,SCE Lugo Substation Heliport,34.368241,-117.370059,3733.0,,US,US-CA,Hesperia,no,,,01CA,01CA,,,
6583,01CL,small_airport,Swansboro Country Airport,38.7999,-120.734001,2594.0,,US,US-CA,Placerville,no,,,01CL,01CL,,https://en.wikipedia.org/wiki/Swansboro_Country_Airport,
6585,01CO,heliport,St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,10175.0,,US,US-CO,Leadville,no,,,01CO,01CO,,,
6586,01CT,heliport,Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734,60.0,,US,US-CT,Berlin,no,,,01CT,01CT,,,
6587,01FA,small_airport,Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,55.0,,US,US-FL,Orlando,no,,,01FA,01FA,,,
6588,01FD,heliport,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,86.0,,US,US-FL,Altamonte Springs,no,,,01FD,01FD,,,Florida Hospital-Altamonte
6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,19.0,,US,US-FL,Geneva,no,,,01FL,01FL,,,
6590,01GA,heliport,Medical Center Heliport,32.47930145263672,-84.9791030883789,319.0,,US,US-GA,Columbus,no,,,01GA,01GA,,,
6591,01GE,small_airport,The Farm Airport,32.675106,-82.771055,375.0,,US,US-GA,Wrightsville,no,,,01GE,01GE,,,
6530,01ID,small_airport,Lava Hot Springs Airport,42.6082,-112.031998,5268.0,,US,US-ID,Lava Hot Springs,no,,,01ID,01ID,,,"Formerly 00E, ID26"
6593,01II,small_airport,Myers Field,39.8849983215332,-86.50669860839844,950.0,,US,US-IN,Lizton,no,,,01II,01II,,,
6594,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,583.0,,US,US-IL,Hoopeston,no,,,01IL,01IL,,,
6595,01IN,heliport,Community Hospital Heliport,40.13090133666992,-85.69580078125,890.0,,US,US-IN,Anderson,no,,,01IN,01IN,,,
6596,01IS,small_airport,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670.0,,US,US-IL,Dow,no,,,01IS,01IS,,,
6597,01J,small_airport,Hilliard Airpark,30.685568,-81.906346,59.0,,US,US-FL,Hilliard,no,,,K01J,01J,,https://en.wikipedia.org/wiki/Hilliard_Airpark,
6598,01K,small_airport,Caldwell Municipal Airport,37.036132,-97.58533,1157.0,,US,US-KS,Caldwell,no,,,K01K,01K,,https://en.wikipedia.org/wiki/Caldwell_Municipal_Airport_(Kansas),
6599,01KS,small_airport,Flying N Ranch Airport,38.54059982299805,-97.00330352783205,1485.0,,US,US-KS,Lost Springs,no,,,01KS,01KS,,,
6600,01KY,heliport,Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469,419.0,,US,US-KY,Paducah,no,,,01KY,01KY,,,
6601,01LA,small_airport,Barham Airport,32.638999938964844,-91.77369689941406,90.0,,US,US-LA,Oak Ridge,no,,,01LA,01LA,,,
6602,01LL,small_airport,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555.0,,US,US-IL,Pinckneyville,no,,,01LL,01LL,,,
6603,01LS,small_airport,Country Breeze Airport,30.722478,-91.077372,125.0,,US,US-LA,Slaughter,no,,,01LS,01LS,,,
6604,01MA,heliport,Compaq Andover Heliport,42.625099182128906,-71.18009948730469,140.0,,US,US-MA,Andover,no,,,01MA,01MA,,,
6605,01MD,seaplane_base,Annapolis Seaplane Base,38.999199,-76.456001,,,US,US-MD,Annapolis,no,,,01MD,01MD,,,
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,46.778900146484375,-68.50029754638672,608.0,,US,US-ME,Portage Lake,no,,,01ME,01ME,,,
6607,01MI,heliport,Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906,736.0,,US,US-MI,Flint,no,,,01MI,01MI,,,
6608,01MN,seaplane_base,Barnes Seaplane Base,47.899600982666016,-92.55740356445312,1358.0,,US,US-MN,Cook,no,,,01MN,01MN,,,
6609,01MO,heliport,Highway Patrol Troop C Headquarters Heliport,38.641700744628906,-90.48429870605467,615.0,,US,US-MO,Town and Country,no,,,01MO,01MO,,,
6610,01MT,small_airport,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341795,3141.0,,US,US-MT,Fortine,no,,,01MT,01MT,,,
356169,01MU,heliport,NWMC - Houghton Heliport,32.196747,-110.775142,2873.0,,US,US-AZ,Tucson,no,,,01MU,01MU,,,
6611,01NC,small_airport,Topsail Airpark,34.47529983520508,-77.5813980102539,65.0,,US,US-NC,Holly Ridge,no,,,01NC,01NC,,,
6613,01NH,small_airport,Moore Airfield,43.6445,-72.086998,835.0,,US,US-NH,Canaan,no,,,01NH,01NH,,,Enfield
6614,01NJ,heliport,Albert Guido Memorial Heliport,40.739956,-74.136128,10.0,,US,US-NJ,Newark,no,,,01NJ,01NJ,,,
45537,01NM,small_airport,Champion Ranch Airport,33.008611,-104.540278,3630.0,,US,US-NM,Lake Arthur,no,,,01NM,01NM,,,
506122,01NR,heliport,McGee 01 Heliport,34.196264,-77.919917,40.0,,US,US-NC,Wilmington,no,,,01NR,01NR,,,
6615,01NV,small_airport,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600.0,,US,US-NV,Yerington,no,,,01NV,01NV,,,
6616,01NY,heliport,Vassar Hospital Heliport,41.692415,-73.93683,100.0,,US,US-NY,Poughkeepsie,no,,,01NY,01NY,,,
347920,01OH,heliport,Atrium Medical Center Heliport,39.497455,-84.313851,775.0,,US,US-OH,Middletown,no,,,01OH,01OH,,,
6617,01OI,heliport,Avita Health System Galion Hospital Heliport,40.730267,-82.802022,1140.0,,US,US-OH,Galion,no,,,01OI,01OI,,,Galion Community Hospital Heliport
345166,01OL,small_airport,Spring Creek Ranch East Airport,34.391667,-96.690833,1060.0,,US,US-OK,Tishomingo,no,,,01OL,01OL,,,
6621,01PN,small_airport,Bierly(Personal Use) Airport,40.93059921264648,-77.73889923095703,960.0,,US,US-PA,Bellefonte,no,,,01PN,01PN,,,
6622,01PS,small_airport,Nort's Resort Airport,41.59590148925781,-76.02960205078125,1040.0,,US,US-PA,Meshoppen,no,,,01PS,01PS,,,
6623,01SC,small_airport,York Airport,35.032100677490234,-81.25279998779297,779.0,,US,US-SC,York,no,,,01SC,01SC,,,
6624,01TA,heliport,Thirty Thirty Matlock Office Center Heliport,32.69419860839844,-97.11579895019533,630.0,,US,US-TX,Arlington,no,,,01TA,01TA,,,
6625,01TE,small_airport,Smith Field,32.737598,-96.428001,505.0,,US,US-TX,Forney,no,,,01TE,01TE,,,02F
6626,01TN,small_airport,Colonial Air Park,34.99589920043945,-89.73059844970703,370.0,,US,US-TN,Collierville,no,,,01TN,01TN,,,
340858,01TT,heliport,Clute Fire & EMS Station #1 Heliport,29.012067,-95.402119,7.0,,US,US-TX,Clute,no,,,01TT,01TT,,,
6629,01U,small_airport,Duckwater Airport,38.849785,-115.634987,5124.0,,US,US-NV,Duckwater,no,,,K01U,01U,,,
6630,01UT,small_airport,La Sal Junction Airport,38.30830001831055,-109.39600372314452,6000.0,,US,US-UT,La Sal,no,,,01UT,01UT,,,
6631,01VA,small_airport,Pickles Airport,39.125,-77.9250030518,500.0,,US,US-VA,Berryville,no,,,01VA,01VA,,,
6632,01WA,heliport,Willapa Harbor Heliport,46.66320037841797,-123.81199645996094,154.0,,US,US-WA,South Bend,no,,,01WA,01WA,,,
6633,01WI,small_airport,Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,930.0,,US,US-WI,Tomah,no,,,01WI,01WI,,,
6634,01WN,heliport,Whidbey General Hospital Heliport,48.2134017944336,-122.68499755859376,103.0,,US,US-WA,Coupeville,no,,,01WN,01WN,,,
45900,01WT,heliport,Odyssey Heliport,47.518178,-122.210908,20.0,,US,US-WA,Renton,no,,,01WT,01WT,,,
6635,01WY,small_airport,Keyhole Airport,44.348312,-104.8106,4250.0,,US,US-WY,Pine Haven,no,,,01WY,01WY,,,
46288,01XA,heliport,Ascension Seton Hays Heliport,30.007222,-97.853333,715.0,,US,US-TX,Kyle,no,,,01XA,01XA,,,Seton Medical Center Hays Heliport
6636,01XS,heliport,Meadowood Ranch Heliport,32.020198822021484,-95.74549865722656,500.0,,US,US-TX,Athens,no,,,01XS,01XS,,,
335815,02AA,small_airport,Barefoot Airport,61.506147,-149.912825,160.0,,US,US-AK,Big Lake,no,,,02AA,02AA,,,H & H Field
6637,02AK,small_airport,Rustic Wilderness Airport,61.876907,-150.097626,190.0,,US,US-AK,Willow,no,,,02AK,02AK,,,
6638,02AL,small_airport,Bass Field,30.37150001525879,-87.76439666748047,61.0,,US,US-AL,Foley,no,,,02AL,02AL,,,
529870,02AN,small_airport,Emerald Ridge Airport,59.704223,-151.295869,222.0,,US,US-AK,Homer,no,,,02AN,02AN,,,
6641,02CA,heliport,Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.12899780273438,122.0,,US,US-CA,Huntington Beach,no,,,02CA,02CA,,,
6642,02CD,small_airport,Shannon Field,34.129600524902344,-90.52400207519533,165.0,,US,US-MS,Clarksdale,no,,,02CD,02CD,,,
6643,02CL,small_airport,Conover Air Lodge Airport,34.761101,-119.058998,5160.0,,US,US-CA,Frazier Park,no,,,02CL,02CL,,,04L
6644,02CO,small_airport,Mc Cullough Airport,37.64329910279999,-106.04699707,7615.0,,US,US-CO,Monte Vista,no,,,02CO,02CO,,,
6645,02CT,heliport,Strangers Point Heliport,41.91960144042969,-72.44450378417969,540.0,,US,US-CT,Ellington,no,,,02CT,02CT,,,
6646,02FA,small_airport,Osborn Airfield,28.526699,-81.874802,121.0,,US,US-FL,Groveland,no,,,02FA,02FA,,https://en.wikipedia.org/wiki/Osborn_Airfield,
341544,02FD,small_airport,Triple R Ranch Airport,30.950976,-86.635555,209.0,,US,US-FL,Baker,no,,,02FD,02FD,,,
6648,02GA,small_airport,Doug Bolton Field,34.202598571777344,-83.42900085449219,884.0,,US,US-GA,Commerce,no,,,02GA,02GA,,,
6649,02GE,small_airport,Etowah Fields Airport,34.17530059814453,-84.92440032958984,710.0,,US,US-GA,Euharlee,no,,,02GE,02GE,,,
6650,02HI,heliport,K3 Helipad Heliport,21.35839,-157.94789,9.0,OC,US,US-HI,Honolulu,no,,,02HI,02HI,,,
6651,02IA,heliport,Boone County Hospital Heliport,42.05609893798828,-93.87799835205078,1160.0,,US,US-IA,Boone,no,,,02IA,02IA,,,
6652,02ID,small_airport,Morgan Ranch Airport,44.55550003051758,-115.30500030517578,5634.0,,US,US-ID,Cascade,no,,,02ID,02ID,,,
6653,02II,small_airport,King Ultralightport,40.06230163574219,-86.21050262451172,925.0,,US,US-IN,Westfield,no,,,02II,02II,,,
6654,02IN,small_airport,Diamond P. Field,40.20890045166016,-85.54080200195312,904.0,,US,US-IN,Muncie,no,,,02IN,02IN,,,
6655,02IS,heliport,Condell Medical Center Heliport,42.274600982666016,-87.9572982788086,762.0,,US,US-IL,Libertyville,no,,,02IS,02IS,,,
6656,02KS,small_airport,JMJ Landing Airport,39.221416,-96.057072,1170.0,,US,US-KS,Saint Marys,no,,,02KS,02KS,,,
327110,02KT,heliport,St Claire Healthcare Heliport,38.181441,-83.443319,781.0,,US,US-KY,Morehead,no,,,02KT,02KT,,,
6657,02KY,heliport,Boone National Guard Heliport,38.190282,-84.906442,760.0,,US,US-KY,Frankfort,no,,,02KY,02KY,,,
6658,02LA,heliport,Louisiana State Police Troop G Heliport,32.531491,-93.659939,168.0,,US,US-LA,Bossier City,no,,,02LA,02LA,,,
6659,02LS,heliport,Windy Hill Heliport,30.14830017089844,-91.91899871826172,25.0,,US,US-LA,Broussard,no,,,02LS,02LS,,,
6660,02MA,heliport,Cuttyhunk Heliport,41.419601,-70.927002,9.0,,US,US-MA,Cuttyhunk,no,,,02MA,02MA,,,
322099,02MD,small_airport,Garner Field,38.672544,-76.709739,141.0,,US,US-MD,Brandywine,no,,,02MD,02MD,,,
6661,02ME,small_airport,Nadeau's Airfield,43.537467,-70.930685,700.0,,US,US-ME,Acton,no,,,02ME,02ME,,,"Mellion Airport, Old Acton Airfield"
6662,02MI,small_airport,Fairplains Airpark,43.15710067749024,-85.14849853515625,850.0,,US,US-MI,Greenville,no,,,02MI,02MI,,,
6664,02MO,small_airport,Troy Airpark,39.04999923706055,-91.03350067138672,650.0,,US,US-MO,Troy,no,,,02MO,02MO,,,
6665,02MS,small_airport,Watts Field,34.095701,-90.846131,153.0,,US,US-MS,Rochdale,no,,,02MS,02MS,,,
6668,02NE,small_airport,Benes Service Airport,41.074501037597656,-96.90450286865234,1550.0,,US,US-NE,Valparaiso,no,,,02NE,02NE,,,
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.65710067749024,-71.21910095214844,1180.0,,US,US-NH,Dummer,no,,,02NH,02NH,,,
6670,02NJ,heliport,Penske Heliport,40.55730056762695,-74.46710205078125,78.0,,US,US-NJ,Piscataway,no,,,02NJ,02NJ,,,
526225,02NM,small_airport,FFR Animas Landing Strip,32.09071,-108.870735,4240.0,,US,US-NM,Animas,no,,,02NM,02NM,,,
506036,02NR,heliport,McGee 02 Heliport,35.592197,-77.377372,25.0,,US,US-NC,Greenville,no,,,02NR,02NR,,,
6671,02NV,small_airport,Paiute Meadows Airport,41.299551,-118.926709,4443.0,,US,US-NV,Winnemucca,no,,,02NV,02NV,,,
6672,02NY,heliport,Hansen Heliport,43.132598876953125,-75.65550231933594,435.0,,US,US-NY,Durhamville,no,,,02NY,02NY,,,
6673,02OH,small_airport,Zimmerman Airport,41.37639999389648,-83.08329772949219,614.0,,US,US-OH,Fremont,no,,,02OH,02OH,,,
6674,02OI,small_airport,Murtha Airport,41.80199813842773,-80.56539916992188,950.0,,US,US-OH,Conneaut,no,,,02OI,02OI,,,
337183,02OL,heliport,War Veterans Colony Heliport,34.811412,-95.307727,807.0,,US,US-OK,Wilburton,no,,,02OL,02OL,,,
6676,02OR,small_airport,Rowena Dell Airport,45.68149948120117,-121.31600189208984,705.0,,US,US-OR,The Dalles,no,,,02OR,02OR,,,
6677,02P,heliport,Stottle Memorial Heliport,40.403596,-77.556602,591.0,,US,US-PA,Honey Grove,no,,,26PA,26PA,,,"02P, EWT 4"
6678,02PA,heliport,Lag III Heliport,40.438301,-79.769997,1070.0,,US,US-PA,Monroeville,no,,,02PA,02PA,,,
6679,02PN,heliport,Peco Berwyn Heliport,40.06959915161133,-75.4552001953125,390.0,,US,US-PA,Berwyn,no,,,02PN,02PN,,,
574181,02RI,heliport,Miramar Residence Heliport,41.457931,-71.304886,36.0,,US,US-RI,Newport,no,,,02RI,02RI,https://americanaristocracy.com/houses/miramar,https://en.wikipedia.org/wiki/Miramar_(mansion),
6682,02SC,small_airport,Harpers Airport,32.760211,-81.225872,111.0,,US,US-SC,Estill,no,,,02SC,02SC,,,
6683,02T,small_airport,Wise River Airport,45.76910018920898,-112.98200225830078,5830.0,,US,US-MT,Wise River,no,,,02T,02T,,,
6684,02TA,heliport,Matagorda Shore Facility Heliport,28.722177,-95.875813,5.0,,US,US-TX,Matagorda,no,,,02TA,02TA,,,
6685,02TE,heliport,Baylor Medical Center Heliport,32.39540100097656,-96.86419677734376,560.0,,US,US-TX,Waxahachie,no,,,02TE,02TE,,,
6686,02TN,small_airport,Ellis Field,35.780355,-86.585521,840.0,,US,US-TN,Rockvale,no,,,02TN,02TN,,,
6689,02UT,small_airport,Lucin Airport,41.369336,-113.841019,4412.0,,US,US-UT,Lucin,no,,,02UT,02UT,,,
6690,02VA,small_airport,The Greenhouse Airport,38.43569946289063,-77.8572006225586,320.0,,US,US-VA,Culpeper,no,,,02VA,02VA,,,
6691,02VG,heliport,Northstar Aviation Heliport,36.63880157470703,-82.11669921875,1850.0,,US,US-VA,Bristol,no,,,02VG,02VG,,,
6692,02WA,small_airport,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001952,690.0,,US,US-WA,South Prairie,no,,,02WA,02WA,,,
6693,02WI,small_airport,Beer Airport,45.03189849853516,-92.65579986572266,920.0,,US,US-WI,Hudson,no,,,02WI,02WI,,,
6694,02WN,small_airport,Fowler Field,48.74580001831055,-119.31900024414062,2150.0,,US,US-WA,Tonasket,no,,,02WN,02WN,,,
330393,02XA,small_airport,JLS Farms Airport,33.591319,-95.882864,675.0,,US,US-TX,Honey Grove,no,,,02XA,02XA,,,
325508,03AA,heliport,Trapper T Heliport,61.556055,-149.284527,159.0,,US,US-AK,Palmer,no,,,03AA,03AA,,,
6696,03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188,150.0,,US,US-AK,Kenai,no,,,03AK,03AK,,,
6697,03AL,heliport,Highland Medical Center Heliport,34.662604,-86.046774,628.0,,US,US-AL,Scottsboro,no,,,03AL,03AL,,,Jackson County Hospital Heliport
6698,03AR,heliport,Hscmh Heliport,34.357601165771484,-92.78849792480467,350.0,,US,US-AR,Malvern,no,,,03AR,03AR,,,
6699,03AZ,small_airport,Thompson International Aviation Airport,31.430971,-110.088087,4275.0,,US,US-AZ,Hereford,no,,,03AZ,03AZ,,,
6700,03CA,heliport,Grossmont Hospital Heliport,32.779484,-117.006952,634.0,,US,US-CA,La Mesa,no,,,03CA,03CA,,,
6702,03FA,small_airport,Lake Persimmon Airstrip,27.353099822998047,-81.40809631347656,70.0,,US,US-FL,Lake Placid,no,,,03FA,03FA,,,
6704,03FL,closed,Ranger Heliport,26.683716,-80.186561,20.0,,US,US-FL,West Palm Beach,no,,,,,,,
322717,03GA,small_airport,HIA Airport,32.561626,-81.85509,238.0,,US,US-GA,Statesboro,no,,,03GA,03GA,,,
512948,03GE,heliport,NGMC Lumpkin Hospital Heliport,34.523153,-83.975058,1178.0,,US,US-GA,Dahlonega,no,,,03GE,03GE,https://www.nghs.com/locations/lumpkin,,
6707,03ID,small_airport,Flying Y Ranch Airport,44.793965,-116.531543,3180.0,,US,US-ID,Council,no,,,03ID,03ID,,,
6708,03II,small_airport,Davis Field Ultralightport,37.9620018005,-87.7789001465,465.0,,US,US-IN,Mount Vernon,no,,,03II,03II,,,
6709,03IL,small_airport,Wix Airport,41.40230178833008,-87.81670379638672,750.0,,US,US-IL,Monee,no,,,03IL,03IL,,,
6710,03IN,small_airport,Heinzman Airport,40.18000030517578,-86.01249694824219,850.0,,US,US-IN,Arcadia,no,,,03IN,03IN,,,
